domain,measured_url,measured_at,publisher_own_tool,reachable,http_status,editable_fields_found,fields_filled,action_clicked,pdf_downloaded_without_account,typed_data_left_the_browser,sent_to_an_unrelated_domain,received_by,unrelated_recipients,fields_that_left,sign_in_form_on_page,claims_local_processing,claim_quote,claim_source_url,signup_wording_on_page,third_party_domains_contacted,known_ad_tracker_domains,own_name_in_pdf_text,notes
invoicegenerator.com.au,https://www.invoicegenerator.com.au/,2026-09-05T09:41:29,no,yes,200,13,13,,no,no,no,,,,no,no,,,,18,5,,no pdf captured
invoicehome.com,https://invoicehome.com/,2026-09-05T09:51:41,no,yes,200,7,7,,no,yes,no,invoicehome.com,,invoice[billing]; invoice[date_issued_string]; invoice[from]; invoice[items_attributes][0][amount]; invoice[items_attributes][0][description]; invoice[number],no,no,,,Sign Up,8,6,,"clicked ""Create Invoice"" to reach the editor"
invoicemaker.com,https://invoicemaker.com/,2026-09-05T09:45:04,no,yes,200,6,5,Download PDF,no,no,no,,,,no,no,,,Sign Up,17,7,,no pdf captured
invoicequick.com,https://invoicequick.com/invoice-generator,2026-09-05T09:50:40,no,yes,200,0,0,,no,unmeasured,unmeasured,,,,no,no,,,,21,6,,"clicked ""Invoice Generator"" to reach the editor; no editable invoice fields were reachable on this page"
invoicesimple.com,https://app.invoicesimple.com/invoices/nzC5PRmUnP/edit,2026-09-05T09:49:58,no,yes,200,19,19,Agree and continue,no,yes,yes,getinvoicesimple.com; intercom.io,intercom.io,"(123) 456 789; 123-45-6789; Additional details; Business Name; Client Name; Item Description; Notes - any relevant information not covered, additional terms and conditions; Street; client-email; company-email; invoice-title",no,no,,,,54,12,,editor appeared only after scrolling
invoiceworkshop.com,https://invoiceworkshop.com/,2026-09-05T09:45:53,yes,yes,200,29,29,,no,no,no,,,,no,yes,"r Generator Purchase Order Generator Construction Invoice Contractor Invoice Privacy Your documents stay on your device. Invoice Workshop is designed so the business, customer and document information you enter is not s",https://invoiceworkshop.com/privacy,signup,3,2,,no pdf captured
justdial.com,https://www.justdial.com/business-tools/free-invoice-generator,2026-09-05T09:39:52,no,yes,200,22,21,Download,no,no,no,,,,no,unmeasured,,,Sign Up,10,5,,no pdf captured
mazu.in,https://mazu.in/invoice-generator/,2026-09-05T10:00:23,no,yes,200,0,0,,no,unmeasured,unmeasured,,,,no,no,,,,7,2,,"clicked ""invoice generator"" to reach the editor; no editable invoice fields were reachable on this page"
pinebill.app,https://www.pinebill.app/tools/invoice-generator,2026-09-05T09:24:56,no,yes,200,7,2,Download PDF,yes,no,no,,,,no,yes,"onal information, customer, product or invoice data, or file uploads. The invoices you generate are processed locally in your browser, ensuring that your data remains private and secure. Only analytics data (such as p",https://www.pinebill.app/privacy,Start Free Trial,11,8,yes,Free Invoice Generator - PineBill.app
plaininvoice.com,https://plaininvoice.com/,2026-09-05T09:51:04,no,yes,200,7,5,Download PDF,no,yes,no,plaininvoice.com,,Client Name; Comments; Footer Text; Name; text,no,no,,,Sign up,10,0,,no pdf captured
portal.billgenerator.in,https://portal.billgenerator.in/hotel-bill,2026-09-05T10:00:47,no,yes,200,19,15,Login to Generate PDF,no,yes,no,billgenerator.in,,"Enter customer signature URL (e.g., https://example.com/image.png); Enter logo URL (e.g., https://example.com/image.png); Enter receptionist signature URL (e.g., https://example.com/image.png)",no,no,,,Sign Up,14,5,,no pdf captured
portant.co,https://www.portant.co/invoice-generator/,2026-09-05T09:26:45,no,yes,200,13,8,,no,no,no,,,,no,yes,"Tax rate (%) Notes / terms Download PDF Free &middot; no signup &middot; no watermark. Your details never leave your browser. INVOICE INV-0001 From Your business name Your address, email, phone Bill to Client / company name",https://www.portant.co/invoice-generator/,signup,29,11,,no pdf captured
poundkit.co.uk,https://poundkit.co.uk/templates/uk-invoice-template/,2026-09-05T10:00:22,no,unknown,,0,0,,no,unmeasured,unmeasured,,,,unmeasured,yes,printable copy. Is my invoice data stored anywhere? No. Everything stays in your browser. PoundKit does not send invoice data to a server. Editorial review Last reviewed 5 September 2026 . Official guidance checked: GOV.UK — Invoices: wh,https://poundkit.co.uk/templates/uk-invoice-template/,,0,0,,harness timed out after 300s
quickbooks.intuit.com,https://quickbooks.intuit.com/payments/invoicing/generator/,2026-09-05T09:44:27,no,yes,200,11,9,Download PDF,yes,no,no,,,,no,no,,,Sign up,55,14,no,
refrens.com,https://www.refrens.com/en/free-online-invoice-generator,2026-09-05T09:53:32,no,yes,200,0,0,,no,unmeasured,unmeasured,,,,no,no,,,Signup,10,7,,no editable invoice fields were reachable on this page
rtcsuite.com,https://rtcsuite.com/e-invoicing-spain/,2026-09-05T09:38:41,no,yes,200,9,9,,no,no,no,,,,no,no,,,,8,6,,no pdf captured
sbent.tech,https://sbent.tech/free-invoice-generator,2026-09-05T09:42:01,no,yes,200,25,25,Generate Invoice | Save Draft,no,no,no,,,,no,no,,,Sign Up,6,2,,no pdf captured
simple-invoice-generator.com,https://simple-invoice-generator.com/,2026-09-05T09:42:59,no,yes,200,33,26,Download / Print | Create invoice,no,no,no,,,,no,yes,"Developer API Sign In Sign Up Modern invoicing, made simple Create Professional Invoices in Seconds Everything runs in your browser—add your logo, line items, taxes, and notes, then send or download a clean PDF. Same experience on",https://simple-invoice-generator.com/,Sign Up,8,6,,no pdf captured
skynova.com,https://www.skynova.com/template/invoice,2026-09-05T09:51:27,no,yes,403,0,0,,no,unmeasured,unmeasured,,,,no,unmeasured,,,,0,0,,no editable invoice fields were reachable on this page
smoothledger.com,https://smoothledger.com/invoice-generator/vat-invoice,2026-09-05T09:55:09,no,yes,429,0,0,,no,unmeasured,unmeasured,,,,no,unmeasured,,,,0,0,,no editable invoice fields were reachable on this page
squareup.com,https://squareup.com/au/en/invoices/invoice-templates,2026-09-05T10:01:08,no,yes,200,0,0,,no,unmeasured,unmeasured,,,,no,no,,,,23,10,,no editable invoice fields were reachable on this page
tallysolutions.com,https://tallysolutions.com/business-tools-templates/free-online-invoice-generator/?srsltid=AfmBOoo7K7A74wNUFWa6ViRvTWtcdWcTlGmKQIA68YCoUE8thdzfi0-a,2026-09-05T09:39:29,no,yes,200,34,30,Download,no,no,no,,,,yes,no,,,Start your free trial,12,8,,no pdf captured
waveapps.com,https://www.waveapps.com/tools/invoice-generator,2026-09-05T09:31:55,no,yes,200,23,19,,no,no,no,,,,no,no,,,Sign up,33,14,,no pdf captured
wise.com,https://wise.com/us/invoice-generator/,2026-09-05T09:23:03,no,yes,200,12,12,Create the invoice,yes,no,no,,,,no,unmeasured,,,Sign up,22,5,no,
xero.com,https://www.xero.com/uk/xero/invoice-template/?adobe_mc_sdid=SDID%3D771B0FEDA828AA98-02A471A4985BF7DE%7CMCORGID%3DC593280E560020957F000101%40AdobeOrg%7CTS%3D1788602074351,2026-09-05T09:54:29,no,yes,200,3,3,Download free invoice template PDF | Download blank invoice template,no,yes,yes,unifyintent.com,unifyintent.com,Email__c,no,no,,,,49,12,,no pdf captured
xolo.io,https://www.xolo.io/zz-en/free-invoice-generator/sales,2026-09-05T09:31:19,no,yes,200,14,14,,no,yes,no,xolo.io,,items[0].discountPercentage; items[0].price; items[0].quantity; roundingAmount; tax,no,no,,,Sign up,3,0,,no pdf captured
zoho.com,https://www.zoho.com/us/invoice/free-invoice-generator.html,2026-09-05T09:23:44,no,yes,200,41,26,Download/Print | Generate Estimates,no,no,no,,,,yes,no,,,Sign up,14,0,,no pdf captured
